ID_FLIGHT,DEPARTURE_DATE,ARRIVAL_DATE,FLIGHT_NUMBER,FLIGHT_STATUS,DEPARTURE_IATA,DEPARTURE_AIRPORT,ARRIVAL_IATA,ARRIVAL_AIRPORT,DEPARTURE_SCHEDULED,DEPARTURE_HOUR,ARRIVAL_SCHEDULED,ARRIVAL_HOUR,DEPARTURE_ESTIMATED,ARRIVAL_ESTIMATED,DEPARTURE_ACTUAL,ARRIVAL_ACTUAL,DEPARTURE_DELAY,ARRIVAL_DELAY,AIRLINE,ARRIVAL_COUNTRY,DEPARTURE_COUNTRY
TU152_02_08_2022_12_45,02/08/2022,02/08/2022,TU152,landed,TUN,CARTHAGE,AMM,QUEEN ALIA INTL,2022-08-02 13:45,12h,2022-08-02 19:30,18h,2022-08-02 13:56,2022-08-02 19:45,2022-08-02 13:56,2022-08-02 19:45,11,15,TU,JORDAN,TUNISIA
TU902_02_08_2022_12_45,02/08/2022,02/08/2022,TU902,landed,TUN,CARTHAGE,MRS,PROVENCE,2022-08-02 13:45,14h,2022-08-02 16:20,16h,2022-08-02 15:02,2022-08-02 17:37,2022-08-02 15:02,2022-08-02 17:37,77,77,TU,FRANCE,TUNISIA
TU792_02_08_2022_12_55,02/08/2022,02/08/2022,TU792,landed,TUN,CARTHAGE,STN,STANSTED,2022-08-02 13:55,13h,2022-08-02 17:00,16h,2022-08-02 14:08,,2022-08-02 14:08,,13,0,TU,UNITED KINGDOM,TUNISIA
TU998_02_08_2022_13_00,02/08/2022,02/08/2022,TU998,landed,TUN,CARTHAGE,NCE,COTE DAZUR,2022-08-02 14:00,13h,2022-08-02 16:30,15h,,2022-08-02 16:52,,2022-08-02 16:52,22,22,TU,FRANCE,TUNISIA
TU700_02_08_2022_13_05,02/08/2022,02/08/2022,TU700,landed,TUN,CARTHAGE,GVA,GENEVE COINTRIN,2022-08-02 14:05,13h,2022-08-02 17:00,16h,2022-08-02 14:19,2022-08-02 17:02,2022-08-02 14:19,2022-08-02 17:02,14,2,TU,SWITZERLAND,TUNISIA
TU841_02_08_2022_14_30,02/08/2022,02/08/2022,TU841,landed,TUN,CARTHAGE,DSS,BLAISE DIAGNE INTERNATIONAL AIRPORT,2022-08-02 15:30,15h,2022-08-02 19:40,19h,2022-08-02 16:27,2022-08-02 20:00,2022-08-02 16:27,,57,20,TU,SENEGAL,TUNISIA
TU722_02_08_2022_14_35,02/08/2022,02/08/2022,TU722,landed,TUN,CARTHAGE,ORY,ORLY,2022-08-02 15:35,15h,2022-08-02 19:00,19h,2022-08-02 16:47,2022-08-02 20:00,2022-08-02 16:47,2022-08-02 20:00,72,60,TU,FRANCE,TUNISIA
AF9465_02_08_2022_14_45,02/08/2022,02/08/2022,AF9465,landed,TUN,CARTHAGE,MRS,PROVENCE,2022-08-02 15:45,15h,2022-08-02 18:20,18h,2022-08-02 16:45,2022-08-02 19:22,2022-08-02 16:45,2022-08-02 19:22,60,62,AF,FRANCE,TUNISIA
BJ844_02_08_2022_14_45,02/08/2022,02/08/2022,BJ844,landed,TUN,CARTHAGE,LGW,GATWICK,2022-08-02 15:45,14h,2022-08-02 18:30,17h,,2022-08-02 18:41,,,11,11,BJ,UNITED KINGDOM,TUNISIA
AF7359_02_08_2022_15_50,02/08/2022,02/08/2022,AF7359,landed,TUN,CARTHAGE,ORY,ORLY,2022-08-02 16:50,16h,2022-08-02 20:10,19h,2022-08-02 17:18,2022-08-02 20:37,2022-08-02 17:18,2022-08-02 20:37,28,27,AF,FRANCE,TUNISIA
TU720_02_08_2022_16_05,02/08/2022,02/08/2022,TU720,landed,TUN,CARTHAGE,ORY,ORLY,2022-08-02 17:05,17h,2022-08-02 20:30,21h,2022-08-02 18:52,2022-08-02 22:08,2022-08-02 18:52,2022-08-02 22:08,107,98,TU,FRANCE,TUNISIA
TU724_02_08_2022_16_30,02/08/2022,02/08/2022,TU724,landed,TUN,CARTHAGE,ORY,ORLY,2022-08-02 17:30,17h,2022-08-02 20:50,20h,2022-08-02 18:09,2022-08-02 21:23,2022-08-02 18:09,2022-08-02 21:23,39,33,TU,FRANCE,TUNISIA
BJ598_02_08_2022_16_50,02/08/2022,02/08/2022,BJ598,landed,TUN,CARTHAGE,LYS,SAINT EXUPERY,2022-08-02 17:50,16h,2022-08-02 20:45,20h,,2022-08-02 21:57,,,72,72,BJ,FRANCE,TUNISIA
BJ566_02_08_2022_16_55,02/08/2022,02/08/2022,BJ566,landed,TUN,CARTHAGE,LIL,LESQUIN,2022-08-02 17:55,16h,2022-08-02 21:35,20h,,2022-08-02 21:34,,,0,0,BJ,FRANCE,TUNISIA
BJ520_02_08_2022_17_25,02/08/2022,02/08/2022,BJ520,landed,TUN,CARTHAGE,CDG,CHARLES DE GAULLE,2022-08-02 18:25,17h,2022-08-02 21:55,18h,,2022-08-02 19:22,,2022-08-02 19:22,0,0,BJ,FRANCE,TUNISIA
TO8075_02_08_2022_17_30,02/08/2022,02/08/2022,TO8075,landed,TUN,CARTHAGE,ORY,ORLY,2022-08-02 18:30,18h,2022-08-02 22:05,21h,2022-08-02 19:06,2022-08-02 22:30,2022-08-02 19:06,2022-08-02 22:30,36,25,TO,FRANCE,TUNISIA
AF1185_02_08_2022_17_45,02/08/2022,02/08/2022,AF1185,landed,TUN,CARTHAGE,CDG,CHARLES DE GAULLE,2022-08-02 18:45,19h,2022-08-02 22:20,22h,2022-08-02 20:35,2022-08-02 23:48,2022-08-02 20:35,,110,88,AF,FRANCE,TUNISIA
TU628_02_08_2022_18_30,02/08/2022,02/08/2022,TU628,landed,TUN,CARTHAGE,BOD,MERIGNAC,2022-08-02 19:30,18h,2022-08-02 22:40,22h,,2022-08-02 23:15,,,35,35,TU,FRANCE,TUNISIA
TU931_02_08_2022_09_25,02/08/2022,02/08/2022,TU931,landed,MRS,PROVENCE,TUN,CARTHAGE,2022-08-02 10:25,09h,2022-08-02 11:00,09h,2022-08-02 10:15,2022-08-02 10:45,2022-08-02 10:15,2022-08-02 10:45,0,0,TU,TUNISIA,FRANCE
TU753_02_08_2022_10_25,02/08/2022,02/08/2022,TU753,landed,FCO,FIUMICINO,TUN,CARTHAGE,2022-08-02 11:25,10h,2022-08-02 11:40,10h,2022-08-02 11:30,2022-08-02 11:45,2022-08-02 11:30,2022-08-02 11:45,5,5,TU,TUNISIA,ITALY
TO3988_02_08_2022_09_15,02/08/2022,02/08/2022,TO3988,landed,ORY,ORLY,TUN,CARTHAGE,2022-08-02 10:15,09h,2022-08-02 11:45,11h,2022-08-02 10:49,2022-08-02 12:27,2022-08-02 10:49,2022-08-02 12:27,34,42,TO,TUNISIA,FRANCE
TU717_02_08_2022_09_20,02/08/2022,02/08/2022,TU717,landed,ORY,ORLY,TUN,CARTHAGE,2022-08-02 10:20,09h,2022-08-02 11:45,10h,2022-08-02 10:22,2022-08-02 11:35,2022-08-02 10:22,2022-08-02 11:35,2,0,TU,TUNISIA,FRANCE
BJ185_02_08_2022_09_55,02/08/2022,02/08/2022,BJ185,landed,GVA,GENEVE COINTRIN,TUN,CARTHAGE,2022-08-02 10:55,10h,2022-08-02 11:50,10h,2022-08-02 11:11,,,,16,0,BJ,TUNISIA,SWITZERLAND
TU751_02_08_2022_10_30,02/08/2022,02/08/2022,TU751,landed,LYS,SAINT EXUPERY,TUN,CARTHAGE,2022-08-02 11:30,10h,2022-08-02 12:25,11h,2022-08-02 11:36,,2022-08-02 11:36,,6,0,TU,TUNISIA,FRANCE
TU757_02_08_2022_10_45,02/08/2022,02/08/2022,TU757,landed,MXP,MALPENSA,TUN,CARTHAGE,2022-08-02 11:45,11h,2022-08-02 12:35,12h,2022-08-02 12:20,2022-08-02 13:00,2022-08-02 12:20,,35,25,TU,TUNISIA,ITALY
TU643_02_08_2022_10_35,02/08/2022,02/08/2022,TU643,landed,VIE,SCHWECHAT,TUN,CARTHAGE,2022-08-02 11:35,11h,2022-08-02 12:45,12h,2022-08-02 12:03,2022-08-02 13:00,2022-08-02 12:03,,28,15,TU,TUNISIA,AUSTRIA
TU283_02_08_2022_11_00,02/08/2022,02/08/2022,TU283,landed,TLS,BLAGNAC,TUN,CARTHAGE,2022-08-02 12:00,11h,2022-08-02 12:50,11h,2022-08-02 12:30,,2022-08-02 12:30,,30,0,TU,TUNISIA,FRANCE
BJ511_02_08_2022_10_30,02/08/2022,02/08/2022,BJ511,landed,CDG,CHARLES DE GAULLE,TUN,CARTHAGE,2022-08-02 11:30,10h,2022-08-02 13:00,12h,,,,,0,0,BJ,TUNISIA,FRANCE
TU215_02_08_2022_12_10,02/08/2022,02/08/2022,TU215,landed,IST,ATATURK,TUN,CARTHAGE,2022-08-02 13:10,12h,2022-08-02 13:55,13h,2022-08-02 13:25,2022-08-02 14:19,2022-08-02 13:25,,15,24,TU,TUNISIA,TURKEY
TU789_02_08_2022_11_25,02/08/2022,02/08/2022,TU789,landed,BRU,BRUSSELS NATL,TUN,CARTHAGE,2022-08-02 12:25,12h,2022-08-02 14:00,13h,2022-08-02 13:36,,2022-08-02 13:36,,71,0,TU,TUNISIA,BELGIUM
TU719_02_08_2022_11_40,02/08/2022,02/08/2022,TU719,landed,ORY,ORLY,TUN,CARTHAGE,2022-08-02 12:40,12h,2022-08-02 14:05,13h,2022-08-02 13:29,2022-08-02 14:43,2022-08-02 13:29,,49,38,TU,TUNISIA,FRANCE
BJ641_02_08_2022_12_20,02/08/2022,02/08/2022,BJ641,landed,IST,ATATURK,TUN,CARTHAGE,2022-08-02 13:20,12h,2022-08-02 14:20,13h,,,,,0,0,BJ,TUNISIA,TURKEY
AF9464_02_08_2022_13_15,02/08/2022,02/08/2022,AF9464,landed,MRS,PROVENCE,TUN,CARTHAGE,2022-08-02 14:15,13h,2022-08-02 14:45,14h,2022-08-02 14:41,2022-08-02 15:11,2022-08-02 14:41,2022-08-02 15:11,26,26,AF,TUNISIA,FRANCE
AF7358_02_08_2022_13_15,02/08/2022,02/08/2022,AF7358,landed,ORY,ORLY,TUN,CARTHAGE,2022-08-02 14:15,13h,2022-08-02 15:40,15h,2022-08-02 14:53,2022-08-02 16:14,2022-08-02 14:53,2022-08-02 16:14,38,34,AF,TUNISIA,FRANCE
TU375_02_08_2022_14_05,02/08/2022,02/08/2022,TU375,landed,ALG,HOUARI BOUMEDIENE,TUN,CARTHAGE,2022-08-02 15:05,14h,2022-08-02 16:15,15h,2022-08-02 15:15,2022-08-02 16:40,2022-08-02 15:15,,10,25,TU,TUNISIA,ALGERIA
TU363_02_08_2022_14_55,02/08/2022,02/08/2022,TU363,landed,BLQ,BOLOGNA,TUN,CARTHAGE,2022-08-02 15:55,14h,2022-08-02 16:25,16h,,2022-08-02 17:26,,,61,61,TU,TUNISIA,ITALY
