FLIGHT_DATE;DEPARTURE_DATE;ARRIVAL_DATE;FLIGHT_NUMBER;FLIGHT_STATUS;DEPARTURE_IATA;DEPARTURE_AIRPORT;ARRIVAL_IATA;ARRIVAL_AIRPORT;DEPARTURE_SCHEDULED;DEPARTURE_HOUR;ARRIVAL_SCHEDULED;ARRIVAL_HOUR;DEPARTURE_ESTIMATED;ARRIVAL_ESTIMATED;DEPARTURE_ACTUAL;ARRIVAL_ACTUAL;DEPARTURE_DELAY;ARRIVAL_DELAY;AIRLINE;ARRIVAL_COUNTRY;DEPARTURE_COUNTRY
01_08_2022_11_40;01/08/2022;01/08/2022;TU719;landed;ORY;ORLY;TUN;CARTHAGE;01/08/2022 12:40;11h;01/08/2022 14:05;13h;01/08/2022 12:55;01/08/2022 14:25;01/08/2022 12:55;01/08/2022 14:25;15.0;20.0;TU;TUNISIA;FRANCE
01_08_2022_10_45;01/08/2022;01/08/2022;TU712;landed;CMN;MOHAMMED V INTL;TUN;CARTHAGE;01/08/2022 11:45;10h;01/08/2022 14:10;13h;01/08/2022 11:35;01/08/2022 14:00;01/08/2022 11:35;01/08/2022 14:00;0.0;0.0;TU;TUNISIA;MOROCCO
01_08_2022_13_10;01/08/2022;01/08/2022;TU792;landed;TUN;CARTHAGE;STN;STANSTED;01/08/2022 14:10;13h;01/08/2022 17:15;17h;;01/08/2022 18:39;;;84.0;84.0;TU;UNITED KINGDOM;TUNISIA
01_08_2022_13_35;01/08/2022;01/08/2022;TU375;landed;ALG;HOUARI BOUMEDIENE;TUN;CARTHAGE;01/08/2022 14:35;14h;01/08/2022 15:45;15h;01/08/2022 15:00;01/08/2022 16:05;01/08/2022 15:00;01/08/2022 16:05;25.0;20.0;TU;TUNISIA;ALGERIA
01_08_2022_14_45;01/08/2022;01/08/2022;TU903;landed;MRS;PROVENCE;TUN;CARTHAGE;01/08/2022 15:45;15h;01/08/2022 16:20;15h;01/08/2022 16:04;01/08/2022 16:35;01/08/2022 16:04;01/08/2022 16:35;19.0;15.0;TU;TUNISIA;FRANCE
01_08_2022_14_40;01/08/2022;01/08/2022;TU418;landed;BEN;BENINA;TUN;CARTHAGE;01/08/2022 15:40;14h;01/08/2022 16:30;15h;;;;;0.0;0.0;TU;TUNISIA;LIBYA
01_08_2022_14_10;01/08/2022;01/08/2022;TU526;landed;TUN;CARTHAGE;DUS;DUSSELDORF;01/08/2022 15:10;15h;01/08/2022 18:55;18h;01/08/2022 16:05;01/08/2022 19:43;01/08/2022 16:05;01/08/2022 19:43;55.0;48.0;TU;GERMANY;TUNISIA
01_08_2022_14_35;01/08/2022;01/08/2022;TU722;landed;TUN;CARTHAGE;ORY;ORLY;01/08/2022 15:35;15h;01/08/2022 19:00;18h;01/08/2022 16:06;01/08/2022 19:24;01/08/2022 16:06;01/08/2022 19:24;31.0;24.0;TU;FRANCE;TUNISIA
01_08_2022_15_30;01/08/2022;01/08/2022;TU701;landed;GVA;GENEVE COINTRIN;TUN;CARTHAGE;01/08/2022 16:30;16h;01/08/2022 17:25;16h;01/08/2022 17:11;;01/08/2022 17:11;;41.0;0.0;TU;TUNISIA;SWITZERLAND
01_08_2022_15_50;01/08/2022;01/08/2022;TU247;landed;SXB;ENTZHEIM;TUN;CARTHAGE;01/08/2022 16:50;16h;01/08/2022 18:00;17h;01/08/2022 17:29;01/08/2022 18:30;01/08/2022 17:29;01/08/2022 18:30;39.0;30.0;TU;TUNISIA;FRANCE
01_08_2022_16_55;01/08/2022;01/08/2022;TU543;landed;MUC;FRANZ JOSEF STRAUSS;TUN;CARTHAGE;01/08/2022 17:55;16h;01/08/2022 19:00;18h;;01/08/2022 19:58;;;58.0;58.0;TU;TUNISIA;GERMANY
01_08_2022_16_30;01/08/2022;01/08/2022;TU724;landed;TUN;CARTHAGE;ORY;ORLY;01/08/2022 17:30;17h;01/08/2022 20:50;20h;01/08/2022 18:19;01/08/2022 21:38;01/08/2022 18:19;01/08/2022 21:38;49.0;48.0;TU;FRANCE;TUNISIA
01_08_2022_16_55;01/08/2022;01/08/2022;TU216;landed;TUN;CARTHAGE;IST;ATATURK;01/08/2022 17:55;17h;01/08/2022 22:35;21h;01/08/2022 18:10;01/08/2022 22:51;01/08/2022 18:10;01/08/2022 22:51;15.0;16.0;TU;TURKEY;TUNISIA
01_08_2022_17_15;01/08/2022;01/08/2022;TU793;landed;STN;STANSTED;TUN;CARTHAGE;01/08/2022 18:15;17h;01/08/2022 21:20;20h;01/08/2022 18:53;01/08/2022 21:35;01/08/2022 18:53;01/08/2022 21:35;38.0;15.0;TU;TUNISIA;UNITED KINGDOM
01_08_2022_18_55;01/08/2022;01/08/2022;TU527;landed;DUS;DUSSELDORF;TUN;CARTHAGE;01/08/2022 19:55;18h;01/08/2022 21:30;20h;;;;;0.0;0.0;TU;TUNISIA;GERMANY
01_08_2022_18_25;01/08/2022;01/08/2022;TU928;landed;TUN;CARTHAGE;MRS;PROVENCE;01/08/2022 19:25;18h;01/08/2022 22:00;21h;01/08/2022 19:42;01/08/2022 22:12;01/08/2022 19:42;01/08/2022 22:12;17.0;12.0;TU;FRANCE;TUNISIA
01_08_2022_19_30;01/08/2022;01/08/2022;TU723;landed;ORY;ORLY;TUN;CARTHAGE;01/08/2022 20:30;19h;01/08/2022 21:55;20h;;01/08/2022 21:45;;01/08/2022 21:45;0.0;0.0;TU;TUNISIA;FRANCE
02_08_2022_16_15;02/08/2022;02/08/2022;TU399;landed;TUN;CARTHAGE;ABJ;ABIDJAN FELIX HOUPHOUET BOIGNY INTL;02/08/2022 17:15;16h;02/08/2022 21:30;20h;;;;;0.0;0.0;TU;COTE DIVOIRE;TUNISIA
02_08_2022_16_25;02/08/2022;02/08/2022;TU395;landed;TUN;CARTHAGE;BKO;SENOU;02/08/2022 17:25;16h;02/08/2022 21:10;20h;;;;;0.0;0.0;TU;MALI;TUNISIA
02_08_2022_19_00;02/08/2022;02/08/2022;TU711;landed;TUN;CARTHAGE;CMN;MOHAMMED V INTL;02/08/2022 20:00;19h;02/08/2022 22:40;21h;;;;;0.0;0.0;TU;MOROCCO;TUNISIA
02_08_2022_21_30;02/08/2022;03/08/2022;TU813;landed;TUN;CARTHAGE;CAI;CAIRO INTL;02/08/2022 22:30;21h;03/08/2022 02:30;01h;;;;;0.0;0.0;TU;EGYPT;TUNISIA
03_08_2022_05_00;03/08/2022;03/08/2022;TU716;landed;TUN;CARTHAGE;ORY;ORLY;03/08/2022 06:00;05h;03/08/2022 09:20;08h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
03_08_2022_05_50;03/08/2022;03/08/2022;TU930;landed;TUN;CARTHAGE;MRS;PROVENCE;03/08/2022 06:50;05h;03/08/2022 09:25;08h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
03_08_2022_06_00;03/08/2022;03/08/2022;TU996;landed;TUN;CARTHAGE;NCE;COTE DAZUR;03/08/2022 07:00;06h;03/08/2022 09:30;08h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
03_08_2022_06_20;03/08/2022;03/08/2022;TU403;landed;TUN;CARTHAGE;MJI;MITIGA AIRPORT;03/08/2022 07:20;06h;03/08/2022 09:30;08h;;;;;0.0;0.0;TU;LIBYA;TUNISIA
03_08_2022_06_45;03/08/2022;03/08/2022;TU718;active;TUN;CARTHAGE;ORY;ORLY;03/08/2022 07:45;06h;03/08/2022 11:10;10h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
03_08_2022_06_50;03/08/2022;03/08/2022;TU788;active;TUN;CARTHAGE;BRU;BRUSSELS NATL;03/08/2022 07:50;06h;03/08/2022 11:25;10h;;;;;0.0;0.0;TU;BELGIUM;TUNISIA
03_08_2022_06_55;03/08/2022;03/08/2022;TU744;active;TUN;CARTHAGE;FRA;FRANKFURT MAIN;03/08/2022 07:55;06h;03/08/2022 11:30;10h;;;;;0.0;0.0;TU;GERMANY;TUNISIA
03_08_2022_07_00;03/08/2022;03/08/2022;TU756;landed;TUN;CARTHAGE;MXP;MALPENSA;03/08/2022 08:00;07h;03/08/2022 10:45;09h;;;;;0.0;0.0;TU;ITALY;TUNISIA
03_08_2022_07_10;03/08/2022;03/08/2022;TU472;landed;TUN;CARTHAGE;VCE;VENEZIA TESSERA;03/08/2022 08:10;07h;03/08/2022 10:55;09h;;;;;0.0;0.0;TU;ITALY;TUNISIA
03_08_2022_08_35;03/08/2022;03/08/2022;TU202;active;TUN;CARTHAGE;YUL;PIERRE ELLIOTT TRUDEAU INTL;03/08/2022 09:35;08h;03/08/2022 13:30;12h;;;;;0.0;0.0;TU;CANADA;TUNISIA
02_08_2022_09_45;02/08/2022;02/08/2022;TU151;landed;AMM;QUEEN ALIA INTL;TUN;CARTHAGE;02/08/2022 10:45;09h;02/08/2022 12:35;11h;02/08/2022 10:47;02/08/2022 12:37;02/08/2022 10:47;02/08/2022 12:37;2.0;2.0;TU;TUNISIA;JORDAN
02_08_2022_20_40;02/08/2022;02/08/2022;TU721;landed;ORY;ORLY;TUN;CARTHAGE;02/08/2022 21:40;20h;02/08/2022 23:05;22h;;;;;0.0;0.0;TU;TUNISIA;FRANCE
02_08_2022_20_50;02/08/2022;02/08/2022;TU725;landed;ORY;ORLY;TUN;CARTHAGE;02/08/2022 21:50;20h;02/08/2022 23:15;22h;;;;;0.0;0.0;TU;TUNISIA;FRANCE
02_08_2022_22_40;03/08/2022;02/08/2022;TU629;landed;BOD;MERIGNAC;TUN;CARTHAGE;02/08/2022 23:40;00h;03/08/2022 00:45;23h;03/08/2022 01:00;;;;80.0;80.0;TU;TUNISIA;FRANCE
02_08_2022_22_30;02/08/2022;03/08/2022;TU712;landed;CMN;MOHAMMED V INTL;TUN;CARTHAGE;02/08/2022 23:30;22h;03/08/2022 01:55;00h;;;;;0.0;0.0;TU;TUNISIA;MOROCCO
02_08_2022_21_00;02/08/2022;03/08/2022;TU395;landed;BKO;SENOU;TUN;CARTHAGE;02/08/2022 22:00;21h;03/08/2022 03:30;03h;;03/08/2022 04:45;;;0.0;75.0;TU;TUNISIA;MALI
02_08_2022_22_00;02/08/2022;03/08/2022;TU841;landed;CKY;CONAKRY;TUN;CARTHAGE;02/08/2022 23:00;22h;03/08/2022 05:05;04h;;;;;0.0;0.0;TU;TUNISIA;GUINEA
03_08_2022_02_30;03/08/2022;03/08/2022;TU814;landed;CAI;CAIRO INTL;TUN;CARTHAGE;03/08/2022 03:30;02h;03/08/2022 05:45;04h;;;;;0.0;0.0;TU;TUNISIA;EGYPT
03_08_2022_01_25;03/08/2022;03/08/2022;TU399;landed;NIM;DIORI HAMANI;TUN;CARTHAGE;03/08/2022 02:25;01h;03/08/2022 06:05;05h;;;;;0.0;0.0;TU;TUNISIA;NIGER
02_08_2022_11_00;02/08/2022;02/08/2022;TU708;landed;TUN;CARTHAGE;ORN;ES SENIA;02/08/2022 12:00;11h;02/08/2022 13:45;12h;;02/08/2022 13:35;;02/08/2022 13:35;0.0;0.0;TU;ALGERIA;TUNISIA
02_08_2022_11_30;02/08/2022;02/08/2022;TU362;landed;TUN;CARTHAGE;BLQ;BOLOGNA;02/08/2022 12:30;11h;02/08/2022 15:05;14h;02/08/2022 12:45;02/08/2022 15:15;02/08/2022 12:45;;15.0;10.0;TU;ITALY;TUNISIA
02_08_2022_11_45;02/08/2022;02/08/2022;TU374;landed;TUN;CARTHAGE;ALG;HOUARI BOUMEDIENE;02/08/2022 12:45;11h;02/08/2022 14:05;13h;02/08/2022 12:47;02/08/2022 14:10;02/08/2022 12:47;02/08/2022 14:10;2.0;5.0;TU;ALGERIA;TUNISIA
02_08_2022_12_45;02/08/2022;02/08/2022;TU152;landed;TUN;CARTHAGE;AMM;QUEEN ALIA INTL;02/08/2022 13:45;12h;02/08/2022 19:30;18h;02/08/2022 13:56;02/08/2022 19:45;02/08/2022 13:56;02/08/2022 19:45;11.0;15.0;TU;JORDAN;TUNISIA
02_08_2022_12_45;02/08/2022;02/08/2022;TU902;landed;TUN;CARTHAGE;MRS;PROVENCE;02/08/2022 13:45;14h;02/08/2022 16:20;16h;02/08/2022 15:02;02/08/2022 17:37;02/08/2022 15:02;02/08/2022 17:37;77.0;77.0;TU;FRANCE;TUNISIA
02_08_2022_12_55;02/08/2022;02/08/2022;TU792;landed;TUN;CARTHAGE;STN;STANSTED;02/08/2022 13:55;13h;02/08/2022 17:00;16h;02/08/2022 14:08;;02/08/2022 14:08;;13.0;0.0;TU;UNITED KINGDOM;TUNISIA
02_08_2022_13_00;02/08/2022;02/08/2022;TU998;landed;TUN;CARTHAGE;NCE;COTE DAZUR;02/08/2022 14:00;13h;02/08/2022 16:30;15h;;02/08/2022 16:52;;02/08/2022 16:52;22.0;22.0;TU;FRANCE;TUNISIA
02_08_2022_13_05;02/08/2022;02/08/2022;TU700;landed;TUN;CARTHAGE;GVA;GENEVE COINTRIN;02/08/2022 14:05;13h;02/08/2022 17:00;16h;02/08/2022 14:19;02/08/2022 17:02;02/08/2022 14:19;02/08/2022 17:02;14.0;2.0;TU;SWITZERLAND;TUNISIA
02_08_2022_14_30;02/08/2022;02/08/2022;TU841;landed;TUN;CARTHAGE;DSS;BLAISE DIAGNE INTERNATIONAL AIRPORT;02/08/2022 15:30;15h;02/08/2022 19:40;19h;02/08/2022 16:27;02/08/2022 20:00;02/08/2022 16:27;;57.0;20.0;TU;SENEGAL;TUNISIA
02_08_2022_14_35;02/08/2022;02/08/2022;TU722;landed;TUN;CARTHAGE;ORY;ORLY;02/08/2022 15:35;15h;02/08/2022 19:00;19h;02/08/2022 16:47;02/08/2022 20:00;02/08/2022 16:47;02/08/2022 20:00;72.0;60.0;TU;FRANCE;TUNISIA
02_08_2022_16_05;02/08/2022;02/08/2022;TU720;landed;TUN;CARTHAGE;ORY;ORLY;02/08/2022 17:05;17h;02/08/2022 20:30;21h;02/08/2022 18:52;02/08/2022 22:08;02/08/2022 18:52;02/08/2022 22:08;107.0;98.0;TU;FRANCE;TUNISIA
02_08_2022_16_30;02/08/2022;02/08/2022;TU724;landed;TUN;CARTHAGE;ORY;ORLY;02/08/2022 17:30;17h;02/08/2022 20:50;20h;02/08/2022 18:09;02/08/2022 21:23;02/08/2022 18:09;02/08/2022 21:23;39.0;33.0;TU;FRANCE;TUNISIA
02_08_2022_18_30;02/08/2022;02/08/2022;TU628;landed;TUN;CARTHAGE;BOD;MERIGNAC;02/08/2022 19:30;18h;02/08/2022 22:40;22h;;02/08/2022 23:15;;;35.0;35.0;TU;FRANCE;TUNISIA
02_08_2022_09_25;02/08/2022;02/08/2022;TU931;landed;MRS;PROVENCE;TUN;CARTHAGE;02/08/2022 10:25;09h;02/08/2022 11:00;09h;02/08/2022 10:15;02/08/2022 10:45;02/08/2022 10:15;02/08/2022 10:45;0.0;0.0;TU;TUNISIA;FRANCE
02_08_2022_10_25;02/08/2022;02/08/2022;TU753;landed;FCO;FIUMICINO;TUN;CARTHAGE;02/08/2022 11:25;10h;02/08/2022 11:40;10h;02/08/2022 11:30;02/08/2022 11:45;02/08/2022 11:30;02/08/2022 11:45;5.0;5.0;TU;TUNISIA;ITALY
02_08_2022_09_20;02/08/2022;02/08/2022;TU717;landed;ORY;ORLY;TUN;CARTHAGE;02/08/2022 10:20;09h;02/08/2022 11:45;10h;02/08/2022 10:22;02/08/2022 11:35;02/08/2022 10:22;02/08/2022 11:35;2.0;0.0;TU;TUNISIA;FRANCE
02_08_2022_10_30;02/08/2022;02/08/2022;TU751;landed;LYS;SAINT EXUPERY;TUN;CARTHAGE;02/08/2022 11:30;10h;02/08/2022 12:25;11h;02/08/2022 11:36;;02/08/2022 11:36;;6.0;0.0;TU;TUNISIA;FRANCE
02_08_2022_10_45;02/08/2022;02/08/2022;TU757;landed;MXP;MALPENSA;TUN;CARTHAGE;02/08/2022 11:45;11h;02/08/2022 12:35;12h;02/08/2022 12:20;02/08/2022 13:00;02/08/2022 12:20;;35.0;25.0;TU;TUNISIA;ITALY
02_08_2022_10_35;02/08/2022;02/08/2022;TU643;landed;VIE;SCHWECHAT;TUN;CARTHAGE;02/08/2022 11:35;11h;02/08/2022 12:45;12h;02/08/2022 12:03;02/08/2022 13:00;02/08/2022 12:03;;28.0;15.0;TU;TUNISIA;AUSTRIA
02_08_2022_11_00;02/08/2022;02/08/2022;TU283;landed;TLS;BLAGNAC;TUN;CARTHAGE;02/08/2022 12:00;11h;02/08/2022 12:50;11h;02/08/2022 12:30;;02/08/2022 12:30;;30.0;0.0;TU;TUNISIA;FRANCE
02_08_2022_12_10;02/08/2022;02/08/2022;TU215;landed;IST;ATATURK;TUN;CARTHAGE;02/08/2022 13:10;12h;02/08/2022 13:55;13h;02/08/2022 13:25;02/08/2022 14:19;02/08/2022 13:25;;15.0;24.0;TU;TUNISIA;TURKEY
02_08_2022_11_25;02/08/2022;02/08/2022;TU789;landed;BRU;BRUSSELS NATL;TUN;CARTHAGE;02/08/2022 12:25;12h;02/08/2022 14:00;13h;02/08/2022 13:36;;02/08/2022 13:36;;71.0;0.0;TU;TUNISIA;BELGIUM
02_08_2022_11_40;02/08/2022;02/08/2022;TU719;landed;ORY;ORLY;TUN;CARTHAGE;02/08/2022 12:40;12h;02/08/2022 14:05;13h;02/08/2022 13:29;02/08/2022 14:43;02/08/2022 13:29;;49.0;38.0;TU;TUNISIA;FRANCE
02_08_2022_14_05;02/08/2022;02/08/2022;TU375;landed;ALG;HOUARI BOUMEDIENE;TUN;CARTHAGE;02/08/2022 15:05;14h;02/08/2022 16:15;15h;02/08/2022 15:15;02/08/2022 16:40;02/08/2022 15:15;;10.0;25.0;TU;TUNISIA;ALGERIA
02_08_2022_14_55;02/08/2022;02/08/2022;TU363;landed;BLQ;BOLOGNA;TUN;CARTHAGE;02/08/2022 15:55;14h;02/08/2022 16:25;16h;;02/08/2022 17:26;;;61.0;61.0;TU;TUNISIA;ITALY
02_08_2022_13_45;02/08/2022;02/08/2022;TU709;landed;ORN;ES SENIA;TUN;CARTHAGE;02/08/2022 14:45;13h;02/08/2022 16:25;15h;02/08/2022 14:30;;02/08/2022 14:30;;0.0;0.0;TU;TUNISIA;ALGERIA
02_08_2022_16_20;02/08/2022;02/08/2022;TU903;landed;MRS;PROVENCE;TUN;CARTHAGE;02/08/2022 17:20;17h;02/08/2022 17:55;18h;02/08/2022 18:59;02/08/2022 19:35;02/08/2022 18:59;02/08/2022 19:35;99.0;100.0;TU;TUNISIA;FRANCE
02_08_2022_16_30;02/08/2022;02/08/2022;TU999;landed;NCE;COTE DAZUR;TUN;CARTHAGE;02/08/2022 17:30;16h;02/08/2022 18:05;17h;02/08/2022 17:45;02/08/2022 18:20;02/08/2022 17:45;02/08/2022 18:20;15.0;15.0;TU;TUNISIA;FRANCE
02_08_2022_17_00;02/08/2022;02/08/2022;TU701;landed;GVA;GENEVE COINTRIN;TUN;CARTHAGE;02/08/2022 18:00;17h;02/08/2022 18:55;17h;02/08/2022 18:10;02/08/2022 18:54;02/08/2022 18:10;;10.0;0.0;TU;TUNISIA;SWITZERLAND
02_08_2022_16_50;02/08/2022;02/08/2022;TU793;landed;STN;STANSTED;TUN;CARTHAGE;02/08/2022 17:50;17h;02/08/2022 20:55;20h;02/08/2022 18:45;02/08/2022 21:35;02/08/2022 18:45;02/08/2022 21:35;55.0;40.0;TU;TUNISIA;UNITED KINGDOM
02_08_2022_19_30;02/08/2022;02/08/2022;TU723;landed;ORY;ORLY;TUN;CARTHAGE;02/08/2022 20:30;20h;02/08/2022 21:55;21h;02/08/2022 21:25;02/08/2022 22:40;02/08/2022 21:25;;55.0;45.0;TU;TUNISIA;FRANCE
03_08_2022_07_45;03/08/2022;03/08/2022;TU147;active;DXB;DUBAI INTL;TUN;CARTHAGE;03/08/2022 08:45;08h;03/08/2022 11:55;10h;03/08/2022 09:00;03/08/2022 11:51;03/08/2022 09:00;;15.0;0.0;TU;TUNISIA;UNITED ARAB EMIRATES
03_08_2022_11_00;03/08/2022;03/08/2022;TU750;scheduled;TUN;CARTHAGE;LYS;SAINT EXUPERY;03/08/2022 12:00;11h;03/08/2022 14:50;13h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
03_08_2022_11_15;03/08/2022;03/08/2022;TU374;scheduled;TUN;CARTHAGE;ALG;HOUARI BOUMEDIENE;03/08/2022 12:15;11h;03/08/2022 13:35;12h;;;;;0.0;0.0;TU;ALGERIA;TUNISIA
03_08_2022_11_15;03/08/2022;03/08/2022;TU514;scheduled;TUN;CARTHAGE;BCN;BARCELONA;03/08/2022 12:15;11h;03/08/2022 15:00;14h;;;;;0.0;0.0;TU;SPAIN;TUNISIA
03_08_2022_11_50;03/08/2022;03/08/2022;TU282;scheduled;TUN;CARTHAGE;TLS;BLAGNAC;03/08/2022 12:50;11h;03/08/2022 15:45;14h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
03_08_2022_12_40;03/08/2022;03/08/2022;TU542;scheduled;TUN;CARTHAGE;MUC;FRANZ JOSEF STRAUSS;03/08/2022 13:40;12h;03/08/2022 16:50;15h;;;;;0.0;0.0;TU;GERMANY;TUNISIA
03_08_2022_12_45;03/08/2022;03/08/2022;TU152;scheduled;TUN;CARTHAGE;AMM;QUEEN ALIA INTL;03/08/2022 13:45;12h;03/08/2022 19:30;18h;;;;;0.0;0.0;TU;JORDAN;TUNISIA
03_08_2022_12_45;03/08/2022;03/08/2022;TU902;scheduled;TUN;CARTHAGE;MRS;PROVENCE;03/08/2022 13:45;12h;03/08/2022 16:20;15h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
03_08_2022_12_55;03/08/2022;03/08/2022;TU148;scheduled;TUN;CARTHAGE;DXB;DUBAI INTL;03/08/2022 13:55;12h;03/08/2022 22:40;21h;;03/08/2022 22:46;;;6.0;6.0;TU;UNITED ARAB EMIRATES;TUNISIA
03_08_2022_14_05;03/08/2022;03/08/2022;TU606;scheduled;TUN;CARTHAGE;MAD;BARAJAS;03/08/2022 15:05;14h;03/08/2022 18:20;17h;;;;;0.0;0.0;TU;SPAIN;TUNISIA
03_08_2022_14_10;03/08/2022;03/08/2022;TU526;scheduled;TUN;CARTHAGE;DUS;DUSSELDORF;03/08/2022 15:10;14h;03/08/2022 18:55;17h;;;;;0.0;0.0;TU;GERMANY;TUNISIA
03_08_2022_14_35;03/08/2022;03/08/2022;TU722;scheduled;TUN;CARTHAGE;ORY;ORLY;03/08/2022 15:35;14h;03/08/2022 19:00;18h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
03_08_2022_21_30;03/08/2022;04/08/2022;TU705;scheduled;TUN;CARTHAGE;CMN;MOHAMMED V INTL;03/08/2022 22:30;21h;04/08/2022 01:10;00h;;;;;0.0;0.0;TU;MOROCCO;TUNISIA
04_08_2022_05_00;04/08/2022;04/08/2022;TU716;scheduled;TUN;CARTHAGE;ORY;ORLY;04/08/2022 06:00;05h;04/08/2022 09:20;08h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
04_08_2022_05_50;04/08/2022;04/08/2022;TU930;scheduled;TUN;CARTHAGE;MRS;PROVENCE;04/08/2022 06:50;05h;04/08/2022 09:25;08h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
04_08_2022_06_00;04/08/2022;04/08/2022;TU750;scheduled;TUN;CARTHAGE;LYS;SAINT EXUPERY;04/08/2022 07:00;06h;04/08/2022 09:50;08h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
04_08_2022_06_00;04/08/2022;04/08/2022;TU996;scheduled;TUN;CARTHAGE;NCE;COTE DAZUR;04/08/2022 07:00;06h;04/08/2022 09:30;08h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
04_08_2022_06_10;04/08/2022;04/08/2022;TU214;scheduled;TUN;CARTHAGE;IST;ATATURK;04/08/2022 07:10;06h;04/08/2022 11:40;10h;;;;;0.0;0.0;TU;TURKEY;TUNISIA
04_08_2022_06_25;04/08/2022;04/08/2022;TU417;scheduled;TUN;CARTHAGE;BEN;BENINA;04/08/2022 07:25;06h;04/08/2022 10:10;09h;;;;;0.0;0.0;TU;LIBYA;TUNISIA
04_08_2022_06_45;04/08/2022;04/08/2022;TU718;scheduled;TUN;CARTHAGE;ORY;ORLY;04/08/2022 07:45;06h;04/08/2022 11:10;10h;;;;;0.0;0.0;TU;FRANCE;TUNISIA
04_08_2022_06_50;04/08/2022;04/08/2022;TU788;scheduled;TUN;CARTHAGE;BRU;BRUSSELS NATL;04/08/2022 07:50;06h;04/08/2022 11:25;10h;;;;;0.0;0.0;TU;BELGIUM;TUNISIA
04_08_2022_07_00;04/08/2022;04/08/2022;TU362;scheduled;TUN;CARTHAGE;BLQ;BOLOGNA;04/08/2022 08:00;07h;04/08/2022 10:35;09h;;;;;0.0;0.0;TU;ITALY;TUNISIA
04_08_2022_07_00;04/08/2022;04/08/2022;TU756;scheduled;TUN;CARTHAGE;MXP;MALPENSA;04/08/2022 08:00;07h;04/08/2022 10:45;09h;;;;;0.0;0.0;TU;ITALY;TUNISIA
04_08_2022_07_15;04/08/2022;04/08/2022;TU711;scheduled;TUN;CARTHAGE;CMN;MOHAMMED V INTL;04/08/2022 08:15;07h;04/08/2022 10:55;09h;;;;;0.0;0.0;TU;MOROCCO;TUNISIA
03_08_2022_09_35;03/08/2022;03/08/2022;TU404;landed;MJI;MITIGA AIRPORT;TUN;CARTHAGE;03/08/2022 10:35;09h;03/08/2022 10:50;09h;;;;;0.0;0.0;TU;TUNISIA;LIBYA
03_08_2022_09_20;03/08/2022;03/08/2022;TU997;landed;NCE;COTE DAZUR;TUN;CARTHAGE;03/08/2022 10:20;10h;03/08/2022 10:55;09h;03/08/2022 11:15;;;;55.0;55.0;TU;TUNISIA;FRANCE
03_08_2022_09_25;03/08/2022;03/08/2022;TU931;landed;MRS;PROVENCE;TUN;CARTHAGE;03/08/2022 10:25;09h;03/08/2022 11:00;10h;;;;;0.0;0.0;TU;TUNISIA;FRANCE
03_08_2022_09_20;03/08/2022;03/08/2022;TU717;active;ORY;ORLY;TUN;CARTHAGE;03/08/2022 10:20;09h;03/08/2022 11:45;10h;03/08/2022 10:55;;;;35.0;35.0;TU;TUNISIA;FRANCE
03_08_2022_10_45;03/08/2022;03/08/2022;TU473;scheduled;VCE;VENEZIA TESSERA;TUN;CARTHAGE;03/08/2022 11:45;10h;03/08/2022 12:25;11h;03/08/2022 11:53;;;;8.0;8.0;TU;TUNISIA;ITALY
03_08_2022_09_45;03/08/2022;03/08/2022;TU151;active;AMM;QUEEN ALIA INTL;TUN;CARTHAGE;03/08/2022 10:45;09h;03/08/2022 12:35;11h;03/08/2022 10:44;;03/08/2022 10:44;;0.0;0.0;TU;TUNISIA;JORDAN
03_08_2022_10_45;03/08/2022;03/08/2022;TU757;scheduled;MXP;MALPENSA;TUN;CARTHAGE;03/08/2022 11:45;10h;03/08/2022 12:35;11h;;;;;0.0;0.0;TU;TUNISIA;ITALY
03_08_2022_11_30;03/08/2022;03/08/2022;TU745;scheduled;FRA;FRANKFURT MAIN;TUN;CARTHAGE;03/08/2022 12:30;11h;03/08/2022 13:50;12h;;;;;0.0;0.0;TU;TUNISIA;GERMANY
03_08_2022_11_25;03/08/2022;03/08/2022;TU789;scheduled;BRU;BRUSSELS NATL;TUN;CARTHAGE;03/08/2022 12:25;11h;03/08/2022 14:00;13h;;;;;0.0;0.0;TU;TUNISIA;BELGIUM
03_08_2022_11_40;03/08/2022;03/08/2022;TU719;scheduled;ORY;ORLY;TUN;CARTHAGE;03/08/2022 12:40;11h;03/08/2022 14:05;13h;;;;;0.0;0.0;TU;TUNISIA;FRANCE
03_08_2022_13_35;03/08/2022;03/08/2022;TU375;scheduled;ALG;HOUARI BOUMEDIENE;TUN;CARTHAGE;03/08/2022 14:35;13h;03/08/2022 15:45;14h;;;;;0.0;0.0;TU;TUNISIA;ALGERIA
