ID_FLIGHT,DEPARTURE_DATE,ARRIVAL_DATE,FLIGHT_NUMBER,FLIGHT_STATUS,DEPARTURE_IATA,DEPARTURE_AIRPORT,ARRIVAL_IATA,ARRIVAL_AIRPORT,DEPARTURE_SCHEDULED,DEPARTURE_HOUR,ARRIVAL_SCHEDULED,ARRIVAL_HOUR,DEPARTURE_ESTIMATED,ARRIVAL_ESTIMATED,DEPARTURE_ACTUAL,ARRIVAL_ACTUAL,DEPARTURE_DELAY,ARRIVAL_DELAY,AIRLINE,ARRIVAL_COUNTRY,DEPARTURE_COUNTRY
TU789_31_07_2022_11_25,31/07/2022,31/07/2022,TU789,landed,BRU,BRUSSELS NATL,TUN,CARTHAGE,2022-07-31 12:25,12h,2022-07-31 14:00,13h,2022-07-31 13:16,2022-07-31 14:35,2022-07-31 13:16,2022-07-31 14:35,51.0,35.0,TU,TUNISIA,BELGIUM
TU719_31_07_2022_11_40,31/07/2022,31/07/2022,TU719,landed,ORY,ORLY,TUN,CARTHAGE,2022-07-31 12:40,11h,2022-07-31 14:05,13h,2022-07-31 12:55,2022-07-31 14:15,2022-07-31 12:55,2022-07-31 14:15,15.0,10.0,TU,TUNISIA,FRANCE
TU375_31_07_2022_13_35,31/07/2022,31/07/2022,TU375,landed,ALG,HOUARI BOUMEDIENE,TUN,CARTHAGE,2022-07-31 14:35,14h,2022-07-31 15:45,15h,2022-07-31 15:15,2022-07-31 16:20,2022-07-31 15:15,2022-07-31 16:20,40.0,35.0,TU,TUNISIA,ALGERIA
TU999_31_07_2022_15_15,31/07/2022,31/07/2022,TU999,landed,NCE,COTE DAZUR,TUN,CARTHAGE,2022-07-31 16:15,16h,2022-07-31 16:50,15h,2022-07-31 17:45,,2022-07-31 17:45,,90.0,0.0,TU,TUNISIA,FRANCE
TU283_31_07_2022_15_45,31/07/2022,31/07/2022,TU283,landed,TLS,BLAGNAC,TUN,CARTHAGE,2022-07-31 16:45,17h,2022-07-31 17:35,18h,2022-07-31 18:05,2022-07-31 19:05,2022-07-31 18:05,2022-07-31 19:05,80.0,90.0,TU,TUNISIA,FRANCE
TU903_31_07_2022_16_20,31/07/2022,31/07/2022,TU903,landed,MRS,PROVENCE,TUN,CARTHAGE,2022-07-31 17:20,16h,2022-07-31 17:55,16h,,,,,0.0,0.0,TU,TUNISIA,FRANCE
TU857_31_07_2022_16_15,31/07/2022,31/07/2022,TU857,landed,MXP,MALPENSA,TUN,CARTHAGE,2022-07-31 17:15,17h,2022-07-31 18:05,18h,2022-07-31 18:30,2022-07-31 19:22,2022-07-31 18:30,2022-07-31 19:22,75.0,77.0,TU,TUNISIA,ITALY
TU701_31_07_2022_17_00,31/07/2022,31/07/2022,TU701,landed,GVA,GENEVE COINTRIN,TUN,CARTHAGE,2022-07-31 18:00,17h,2022-07-31 18:55,18h,2022-07-31 18:35,2022-07-31 19:25,2022-07-31 18:35,2022-07-31 19:25,35.0,30.0,TU,TUNISIA,SWITZERLAND
TU851_31_07_2022_18_00,31/07/2022,31/07/2022,TU851,landed,LYS,SAINT EXUPERY,TUN,CARTHAGE,2022-07-31 19:00,20h,2022-07-31 19:55,21h,2022-07-31 21:40,2022-07-31 22:25,2022-07-31 21:40,2022-07-31 22:25,160.0,150.0,TU,TUNISIA,FRANCE
TU723_31_07_2022_19_30,31/07/2022,31/07/2022,TU723,landed,ORY,ORLY,TUN,CARTHAGE,2022-07-31 20:30,19h,2022-07-31 21:55,21h,2022-07-31 20:45,2022-07-31 22:00,2022-07-31 20:45,2022-07-31 22:00,15.0,5.0,TU,TUNISIA,FRANCE
TU147_01_08_2022_07_45,01/08/2022,01/08/2022,TU147,landed,DXB,DUBAI INTL,TUN,CARTHAGE,2022-08-01 08:45,08h,2022-08-01 11:55,11h,2022-08-01 09:18,2022-08-01 12:04,2022-08-01 09:18,2022-08-01 12:04,33.0,9.0,TU,TUNISIA,UNITED ARAB EMIRATES
TU716_02_08_2022_05_00,02/08/2022,02/08/2022,TU716,landed,TUN,CARTHAGE,ORY,ORLY,2022-08-02 06:00,05h,2022-08-02 09:20,08h,,,,,0.0,0.0,TU,FRANCE,TUNISIA
TU930_02_08_2022_05_50,02/08/2022,02/08/2022,TU930,landed,TUN,CARTHAGE,MRS,PROVENCE,2022-08-02 06:50,05h,2022-08-02 09:25,08h,,,,,0.0,0.0,TU,FRANCE,TUNISIA
TU214_02_08_2022_06_10,02/08/2022,02/08/2022,TU214,landed,TUN,CARTHAGE,IST,ATATURK,2022-08-02 07:10,06h,2022-08-02 11:40,10h,,,,,0.0,0.0,TU,TURKEY,TUNISIA
TU642_02_08_2022_06_20,02/08/2022,02/08/2022,TU642,landed,TUN,CARTHAGE,VIE,SCHWECHAT,2022-08-02 07:20,06h,2022-08-02 10:35,09h,,,,,0.0,0.0,TU,AUSTRIA,TUNISIA
TU750_02_08_2022_06_40,02/08/2022,02/08/2022,TU750,landed,TUN,CARTHAGE,LYS,SAINT EXUPERY,2022-08-02 07:40,06h,2022-08-02 10:30,09h,,,,,0.0,0.0,TU,FRANCE,TUNISIA
TU718_02_08_2022_06_45,02/08/2022,02/08/2022,TU718,landed,TUN,CARTHAGE,ORY,ORLY,2022-08-02 07:45,06h,2022-08-02 11:10,10h,,,,,0.0,0.0,TU,FRANCE,TUNISIA
TU788_02_08_2022_06_50,02/08/2022,02/08/2022,TU788,landed,TUN,CARTHAGE,BRU,BRUSSELS NATL,2022-08-02 07:50,06h,2022-08-02 11:25,10h,,,,,0.0,0.0,TU,BELGIUM,TUNISIA
TU756_02_08_2022_07_00,02/08/2022,02/08/2022,TU756,landed,TUN,CARTHAGE,MXP,MALPENSA,2022-08-02 08:00,07h,2022-08-02 10:45,09h,,,,,0.0,0.0,TU,ITALY,TUNISIA
TU282_02_08_2022_07_05,02/08/2022,02/08/2022,TU282,landed,TUN,CARTHAGE,TLS,BLAGNAC,2022-08-02 08:05,07h,2022-08-02 11:00,10h,,,,,0.0,0.0,TU,FRANCE,TUNISIA
TU752_02_08_2022_07_05,02/08/2022,02/08/2022,TU752,landed,TUN,CARTHAGE,FCO,FIUMICINO,2022-08-02 08:05,07h,2022-08-02 10:25,09h,,,,,0.0,0.0,TU,ITALY,TUNISIA
TU151_01_08_2022_09_45,01/08/2022,01/08/2022,TU151,landed,AMM,QUEEN ALIA INTL,TUN,CARTHAGE,2022-08-01 10:45,10h,2022-08-01 12:35,11h,2022-08-01 11:04,2022-08-01 12:40,2022-08-01 11:04,2022-08-01 12:40,19.0,5.0,TU,TUNISIA,JORDAN
TU725_01_08_2022_20_50,01/08/2022,01/08/2022,TU725,landed,ORY,ORLY,TUN,CARTHAGE,2022-08-01 21:50,21h,2022-08-01 23:15,22h,2022-08-01 22:38,2022-08-01 23:50,2022-08-01 22:38,,48.0,35.0,TU,TUNISIA,FRANCE
TU929_01_08_2022_22_00,01/08/2022,01/08/2022,TU929,landed,MRS,PROVENCE,TUN,CARTHAGE,2022-08-01 23:00,22h,2022-08-01 23:30,22h,,,,,0.0,0.0,TU,TUNISIA,FRANCE
TU217_01_08_2022_22_45,01/08/2022,01/08/2022,TU217,landed,IST,ATATURK,TUN,CARTHAGE,2022-08-01 23:45,22h,2022-08-02 00:40,23h,,,,,0.0,0.0,TU,TUNISIA,TURKEY
