flight_date,flight_status,departure_airport,departure_timezone,departure_iata,departure_delay_minutes,departure_scheduled,departure_estimated,departure_actual,arrival_airport,arrival_timezone,arrival_iata,arrival_scheduled,arrival_delay_minutes,arrival_estimated,arrival_actual,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao,year,month,day,day_of_week,total_delay_minutes,route,is_delayed
2025-12-22,scheduled,Carthage,Africa/Tunis,TUN,0.0,2025-12-22 19:45:00+00:00,2025-12-22 19:45:00+00:00,,Marseille Provence Airport,Europe/Paris,MRS,2025-12-22 21:20:00+00:00,10.0,,,Tunisair,TU,TAR,902,TU902,TAR902,2025,12,22,Monday,10.0,TUN → MRS,False
2025-12-22,scheduled,Habib Bourguiba,Africa/Tunis,MIR,0.0,2025-12-22 18:20:00+00:00,2025-12-22 18:20:00+00:00,,Marseille Provence Airport,Europe/Paris,MRS,2025-12-22 20:05:00+00:00,0.0,,,Tunisair,TU,TAR,680,TU680,TAR680,2025,12,22,Monday,0.0,MIR → MRS,False
2025-12-22,scheduled,Carthage,Africa/Tunis,TUN,0.0,2025-12-22 18:40:00+00:00,2025-12-22 18:40:00+00:00,,King Abdulaziz International,Asia/Riyadh,JED,2025-12-23 00:55:00+00:00,0.0,,,Tunisair,TU,TAR,713,TU713,TAR713,2025,12,22,Monday,0.0,TUN → JED,False
2025-12-22,scheduled,Carthage,Africa/Tunis,TUN,0.0,2025-12-22 18:10:00+00:00,2025-12-22 18:10:00+00:00,,Queen Alia International,Asia/Amman,AMM,2025-12-22 23:50:00+00:00,0.0,,,Tunisair,TU,TAR,152,TU152,TAR152,2025,12,22,Monday,0.0,TUN → AMM,False
2025-12-22,scheduled,Frankfurt International Airport,Europe/Berlin,FRA,0.0,2025-12-22 18:15:00+00:00,2025-12-22 18:15:00+00:00,,Carthage,Africa/Tunis,TUN,2025-12-22 20:40:00+00:00,0.0,,,Tunisair,TU,TAR,745,TU745,TAR745,2025,12,22,Monday,0.0,FRA → TUN,False
2025-12-22,scheduled,St-ExupÃ©ry,Europe/Paris,LYS,0.0,2025-12-22 18:40:00+00:00,2025-12-22 18:40:00+00:00,,Carthage,Africa/Tunis,TUN,2025-12-22 20:35:00+00:00,0.0,,,Tunisair,TU,TAR,851,TU851,TAR851,2025,12,22,Monday,0.0,LYS → TUN,False
2025-12-22,scheduled,Orly,Europe/Paris,ORY,0.0,2025-12-22 17:15:00+00:00,2025-12-22 17:15:00+00:00,,Djerba-Zarzis,Africa/Tunis,DJE,2025-12-22 20:05:00+00:00,0.0,,,Tunisair,TU,TAR,635,TU635,TAR635,2025,12,22,Monday,0.0,ORY → DJE,False
2025-12-22,scheduled,DÃ¼sseldorf International Airport,Europe/Berlin,DUS,0.0,2025-12-22 17:20:00+00:00,2025-12-22 17:20:00+00:00,,Carthage,Africa/Tunis,TUN,2025-12-22 20:00:00+00:00,0.0,,,Tunisair,TU,TAR,527,TU527,TAR527,2025,12,22,Monday,0.0,DUS → TUN,False
2025-12-22,scheduled,Blagnac,Europe/Paris,TLS,0.0,2025-12-22 18:05:00+00:00,2025-12-22 18:05:00+00:00,,Carthage,Africa/Tunis,TUN,2025-12-22 19:55:00+00:00,0.0,,,Tunisair,TU,TAR,283,TU283,TAR283,2025,12,22,Monday,0.0,TLS → TUN,False
2025-12-22,active,Carthage,Africa/Tunis,TUN,0.0,2025-12-22 16:55:00+00:00,2025-12-22 16:55:00+00:00,,Orly,Europe/Paris,ORY,2025-12-22 19:20:00+00:00,10.0,,,Tunisair,TU,TAR,724,TU724,TAR724,2025,12,22,Monday,10.0,TUN → ORY,False
2025-12-22,active,Entzheim,Europe/Paris,SXB,0.0,2025-12-22 16:15:00+00:00,2025-12-22 16:15:00+00:00,2025-12-22 16:20:00+00:00,Carthage,Africa/Tunis,TUN,2025-12-22 18:30:00+00:00,0.0,2025-12-22 18:16:00+00:00,,Tunisair,TU,TAR,247,TU247,TAR247,2025,12,22,Monday,0.0,SXB → TUN,False
2025-12-22,scheduled,Orly,Europe/Paris,ORY,0.0,2025-12-22 17:00:00+00:00,2025-12-22 17:00:00+00:00,,Carthage,Africa/Tunis,TUN,2025-12-22 19:25:00+00:00,0.0,,,Tunisair,TU,TAR,723,TU723,TAR723,2025,12,22,Monday,0.0,ORY → TUN,False
2025-12-22,scheduled,Cote D'azur International Airport,Europe/Paris,NCE,0.0,2025-12-22 15:45:00+00:00,2025-12-22 15:45:00+00:00,,Habib Bourguiba,Africa/Tunis,MIR,2025-12-22 17:25:00+00:00,0.0,,,Tunisair,TU,TAR,251,TU251,TAR251,2025,12,22,Monday,0.0,NCE → MIR,False
